country	forest
	43,234,245
Russia	8,149,300
Canada	4,916,438
Brazil	4,776,980
United States	3,100,950
China	2,083,210
Australia	1,250,000
Democratic Republic of the Congo	1,172,704
Argentina	945,336
Indonesia	884,950
India	802,088
Mexico	710,000
Peru	687,420
Sudan	675,460
Mozambique	620,000
Colombia	607,280
Angola	591,040
Bolivia	587,400
Venezuela	471,378
Myanmar	430,560
Zambia	376,309
Tanzania	352,570
Sudan	327,909
Papua New Guinea	294,370
Sweden	280,730
Zimbabwe	259,267
Japan	253,203
France	246,640
Finland	233,320
Central African Republic	227,550
Gabon	227,517
Republic of the Congo	224,710
Turkey	216,781
Cameroon	212,450
Malaysia	195,200
Paraguay	184,750
Spain	184,180
Laos	170,000
Chile	158,781
Guyana	151,040
South Sudan	148,196
Suriname	147,760
Thailand	147,620
Madagascar	128,380
Mali	125,720
Vietnam	123,000
Norway	121,120
Botswana	119,430
Chad	119,210
Ecuador	115,510
Germany	114,190
Niger	112,000
Morocco	111,325
Nigeria	110,890
Iran	110,750
Guatemala	108,894
Italy	106,736
Ukraine	105,000
Mongolia	102,520
Cambodia	93,350
Poland	90,000
South Africa	89,170
Senegal	86,730
New Zealand	85,424
Belarus	80,334
Namibia	76,610
North Korea	76,240
Philippines	71,620
Somalia	71,310
Romania	69,610
Burkina Faso	67,940
Honduras	67,254
Guinea	67,240
South Korea	63,346
Benin	61,860
Kazakhstan	54,498
Nicaragua	51,890
Uganda	50,000
Panama	42,940
Pakistan	42,240
Algeria	42,000
Turkmenistan	41,270
Austria	39,600
Ethiopia	39,313
Latvia	38,755
Greece	37,520
Nepal	36,360
Bulgaria	36,250
Malawi	33,176
Portugal	31,820
Liberia	31,540
Ivory Coast	30,000
United Kingdom	28,650
Georgia	28,577
Sierra Leone	27,540
Serbia	27,200
Cuba	27,130
Saudi Arabia	27,000
Czech Republic	26,000
Bosnia and Herzegovina	25,599
Croatia	24,901
Bhutan	24,764
Ghana	24,600
Solomon Islands	23,117
Estonia	23,066
Taiwan	21,588
Lithuania	21,223
Hungary	20,990
Guinea-Bissau	20,720
Costa Rica	20,440
Slovakia	20,006
Uzbekistan	19,690
Sri Lanka	19,330
Belize	16,530
Equatorial Guinea	16,320
Eritrea	15,540
Dominican Republic	13,384
Kenya	13,200
Oman	13,050
Slovenia	12,574
Switzerland	12,540
Azerbaijan	11,400
North Macedonia	10,285
Fiji	10,000
Bangladesh	8,710
Kyrgyzstan	8,690
Haiti	8,300
Iraq	8,220
Togo	8,000
Timor-Leste	7,980
Albania	7,716
Ireland	7,540
Uruguay	7,000
Belgium	6,834
Montenegro	6,252
Denmark	6,120
Bahamas	5,150
Gambia	4,857
Syria	4,610
Yemen	4,490
Vanuatu	4,470
Tajikistan	4,100
Netherlands	3,650
Jamaica	3,308
Moldova	3,290
Rwanda	3,161
United Arab Emirates	3,120
El Salvador	2,980
Armenia	2,974
Brunei	2,780
Mauritania	2,670
Tunisia	2,601
Trinidad and Tobago	2,260
Libya	2,170
Iceland	1,930
Cyprus	1,740
Afghanistan	1,631
Israel	1,600
Lebanon	1,383
Burundi	1,270
Samoa	1,050
Jordan	893
Luxembourg	870
Cape Verde	840
Egypt	670
Micronesia	630
Mauritius	612
Dominica	488
Seychelles	407
Palau	400
São Tomé and Príncipe	270
Eswatini (Swaziland)	174
Saint Lucia	170
Andorra	160
Saint Vincent and the Grenadines	127
Antigua and Barbuda	90
Palestine	90
Lesotho	80
Liechtenstein	70
Djibouti	60
Kuwait	60
Comoros	50
Saint Kitts and Nevis	50
Grenada	40
Tonga	40
Tuvalu	23
Barbados	20
Kiribati	20
Singapore	20
Maldives	10
Qatar	9
Bahrain	5
Malta	3
San Marino	1