country	gdp
World	87265226
United States	21344667
European Union	18705132
China	14216503
Japan	5176205
Germany	3963880
India	2971996
United Kingdom	2829163
France	2761633
Italy	2025866
Brazil	1960190
Canada	1739110
Korea South	1656674
Russia	1610381
Spain	1429140
Australia	1417003
Mexico	1241450
Indonesia	1100911
Netherlands	914003
Saudi Arabia	762259
Switzerland	742000
Turkey	706237
Taiwan	601431
Poland	593295
Sweden	547123
Belgium	531813
Thailand	516662
Iran	484663
Argentina	477743
Austria	457637
Nigeria	444916
United Arab Emirates	427876
Norway	427041
Hong Kong	381720
Ireland	381571
Israel	381569
Malaysia	373447
Singapore	372807
South Africa	371298
Philippines	356682
Denmark	349524
Colombia	336599
Bangladesh	314656
Egypt	299589
Chile	295614
Pakistan	278019
Finland	276572
Vietnam	260301
Czech Republic	246161
Romania	244158
Portugal	239473
Peru	232080
Iraq	225257
Greece	219097
New Zealand	210475
Qatar	193502
Algeria	183687
Hungary	168778
Kazakhstan	164207
Kuwait	136940
Ukraine	134887
Morocco	121350
Slovakia	109863
Ecuador	106289
Puerto Rico	103506
Kenya	99246
Angola	92191
Ethiopia	90968
Dominican Republic	84837
Sri Lanka	84164
Guatemala	82335
Oman	79458
Venezuela	76458
Panama	70155
Luxembourg	69634
Ghana	68258
Bulgaria	67044
Myanmar	65665
Croatia	61252
Tanzania	61032
Belarus	60951
Costa Rica	60459
Uruguay	60231
Syria	60043
Lebanon	58281
Macau	58055
Slovenia	55088
Lithuania	54240
Serbia	52424
Turkmenistan	50346
Uzbekistan	49199
Congo Democratic Republic of the	48458
Côte d'Ivoire	45252
Azerbaijan	45248
Libya	44964
Jordan	44256
Bolivia	43687
Paraguay	42352
Cameroon	39219
Bahrain	38952
Tunisia	36204
Latvia	35721
Sudan	31468
Estonia	31026
Uganda	30368
Yemen	29079
Nepal	28922
El Salvador	26989
Cambodia	26979
Senegal	25320
Honduras	24651
Cyprus	24638
Zambia	24615
Iceland	24544
Trinidad and Tobago	22438
Zimbabwe	22290
Papua New Guinea	21453
Laos	20153
Bosnia and Herzegovina	20152
Afghanistan	19990
Botswana	19651
Mali	17833
Georgia	17214
Gabon	16709
Jamaica	16152
Albania	15960
Mozambique	15372
Malta	15134
Burkina Faso	14882
Mauritius	14812
Namibia	13824
Mongolia	13038
Brunei	13325
Bahamas The	13262
Armenia	13105
North Macedonia	12884
Madagascar	12734
Guinea	12623
Nicaragua	12612
Equatorial Guinea	12432
Moldova	12037
Chad	11372
Benin	11184
Congo Republic of the	11162
Rwanda	10211
Niger	9724
Haiti	9602
Kyrgyzstan	8334
Kosovo	8126
Somalia	7903
Eritrea	7718
Eswatini	7718
Tajikistan	7698
Malawi	7436
Maldives	5749
Togo	5592
Mauritania	5569
Montenegro	5443
Fiji	5324
Barbados	5207
Sierra Leone	3998
Guyana	3830
Suriname	3683
Burundi	3573
Liberia	3221
South Sudan	3151
Timor-Leste	3145
Aruba	2840
Bhutan	2811
Lesotho	2392
Djibouti	2285
Central African Republic	1997
Belize	1971
St. Lucia	1741
Gambia	1717
Antigua and Barbuda	1654
Seychelles	1620
San Marino	1538
Solomon Islands	1511
Grenada	1272
St. Kitts and Nevis	1058
Vanuatu	942
Samoa	902
St. Vincent and the Grenadines	864
Comoros	726
Dominica	542
Tonga	493
São Tomé and Príncipe	477
Micronesia Federated States of	383
Palau	310
Marshall Islands	220
Kiribati	187
Tuvalu	49